title,author,year
To Kill a Mockingbird,Harper Lee,1960
1984,George Orwell,1949
Pride and Prejudice,Jane Austen,1813
The Great Gatsby,F. Scott Fitzgerald,1925
Moby-Dick,Herman Melville,1851
War and Peace,Leo Tolstoy,1869
The Catcher in the Rye,J.D. Salinger,1951
The Hobbit,J.R.R. Tolkien,1937
Brave New World,Aldous Huxley,1932
Crime and Punishment,Fyodor Dostoevsky,1866
The Lord of the Rings,J.R.R. Tolkien,1954
Jane Eyre,Charlotte Brontë,1847
The Chronicles of Narnia,C.S. Lewis,1950
Animal Farm,George Orwell,1945
The Alchemist,Paulo Coelho,1988
Les Misérables,Victor Hugo,1862
Don Quixote,Miguel de Cervantes,1605
The Picture of Dorian Gray,Oscar Wilde,1890
Frankenstein,Mary Shelley,1818
The Grapes of Wrath,John Steinbeck,1939
Wuthering Heights,Emily Brontë,1847
The Odyssey,Homer,-800
The Iliad,Homer,-750
Fahrenheit 451,Ray Bradbury,1953
The Divine Comedy,Dante Alighieri,1320
Dracula,Bram Stoker,1897
The Brothers Karamazov,Fyodor Dostoevsky,1880
Madame Bovary,Gustave Flaubert,1856
The Stranger,Albert Camus,1942
One Hundred Years of Solitude,Gabriel García Márquez,1967
The Sound and the Fury,William Faulkner,1929
Lolita,Vladimir Nabokov,1955
Catch-22,Joseph Heller,1961
Beloved,Toni Morrison,1987
Invisible Man,Ralph Ellison,1952
Slaughterhouse-Five,Kurt Vonnegut,1969
The Sun Also Rises,Ernest Hemingway,1926
A Tale of Two Cities,Charles Dickens,1859
Great Expectations,Charles Dickens,1861
Middlemarch,George Eliot,1871
Heart of Darkness,Joseph Conrad,1899
On the Road,Jack Kerouac,1957
The Old Man and the Sea,Ernest Hemingway,1952
The Kite Runner,Khaled Hosseini,2003
Life of Pi,Yann Martel,2001
The Book Thief,Markus Zusak,2005
The Road,Cormac McCarthy,2006
The Handmaid's Tale,Margaret Atwood,1985
Dune,Frank Herbert,1965
Neuromancer,William Gibson,1984
