title,author,year
The Odyssey,Homer,-800
The Iliad,Homer,-750
Test Book,Me,12
The Divine Comedy,Dante Alighieri,1320
Don Quixote,Miguel de Cervantes,1605
Pride and Prejudice,Jane Austen,1813
Frankenstein,Mary Shelley,1818
Jane Eyre,Charlotte Brontë,1847
Wuthering Heights,Emily Brontë,1847
Moby-Dick,Herman Melville,1851
Madame Bovary,Gustave Flaubert,1856
A Tale of Two Cities,Charles Dickens,1859
Great Expectations,Charles Dickens,1861
Les Misérables,Victor Hugo,1862
Crime and Punishment,Fyodor Dostoevsky,1866
War and Peace,Leo Tolstoy,1869
Middlemarch,George Eliot,1871
The Brothers Karamazov,Fyodor Dostoevsky,1880
The Picture of Dorian Gray,Oscar Wilde,1890
Dracula,Bram Stoker,1897
Heart of Darkness,Joseph Conrad,1899
The Great Gatsby,F. Scott Fitzgerald,1925
The Sun Also Rises,Ernest Hemingway,1926
The Sound and the Fury,William Faulkner,1929
Brave New World,Aldous Huxley,1932
The Hobbit,J.R.R. Tolkien,1937
The Grapes of Wrath,John Steinbeck,1939
The Stranger,Albert Camus,1942
Animal Farm,George Orwell,1945
1984,George Orwell,1949
The Chronicles of Narnia,C.S. Lewis,1950
The Catcher in the Rye,J.D. Salinger,1951
Invisible Man,Ralph Ellison,1952
The Old Man and the Sea,Ernest Hemingway,1952
Fahrenheit 451,Ray Bradbury,1953
The Lord of the Rings,J.R.R. Tolkien,1954
Lolita,Vladimir Nabokov,1955
On the Road,Jack Kerouac,1957
To Kill a Mockingbird,Harper Lee,1960
Catch-22,Joseph Heller,1961
Dune,Frank Herbert,1965
One Hundred Years of Solitude,Gabriel García Márquez,1967
Slaughterhouse-Five,Kurt Vonnegut,1969
Neuromancer,William Gibson,1984
The Handmaid's Tale,Margaret Atwood,1985
Beloved,Toni Morrison,1987
The Alchemist,Paulo Coelho,1988
Life of Pi,Yann Martel,2001
The Kite Runner,Khaled Hosseini,2003
The Book Thief,Markus Zusak,2005
The Road,Cormac McCarthy,2006
